i,apprent,vérif
0,"12,0830459736","8,5440037453"
1,"10,6301458127","9,1104335791"
2,"9,7467943448","11,6189500386"
3,"10,246950766","8,6602540378"
4,"10,0995049384","9,6953597148"
5,"9,8994949366","8,5440037453"
6,"10,246950766","11,7473401245"
7,"9,4339811321","8,2462112512"
8,"9,2736184955","7,9372539332"
9,"9,2195444573",9
10,9,"8,602325267"
11,"9,1104335791","9,4868329805"
12,"8,7749643874","8,4261497732"
13,"8,8881944173","8,602325267"
14,"8,7749643874","10,8627804912"
15,"8,6602540378","9,1651513899"
16,"8,4852813742","8,5440037453"
17,"9,2195444573","8,8317608663"
18,"8,6602540378","9,3273790531"
19,"8,3066238629","9,2736184955"
20,"7,874007874","8,602325267"
21,"7,4833147735","8,2462112512"
22,8,"8,4852813742"
23,"8,4852813742","8,0622577483"
24,"8,7177978871","8,4261497732"
25,"8,0622577483","10,6301458127"
26,"8,7177978871","22,2934968096"
27,"8,94427191","8,1240384046"
28,"8,2462112512","8,3666002653"
29,"8,2462112512","8,0622577483"
30,"6,4807406984","8,6602540378"
31,7,"8,3066238629"
32,"8,1853527719","11,7473401245"
33,"7,2801098893","10,295630141"
34,"7,6157731059","7,8102496759"
35,7,"10,1488915651"
36,"6,7082039325",9
37,"7,6811457479","8,8317608663"
38,"7,2111025509","8,6602540378"
39,"6,7823299831","8,8317608663"
40,"6,5574385243","8,94427191"
41,"5,1961524227","9,2736184955"
42,"5,5677643628","9,0553851381"
43,7,"10,246950766"
44,"7,1414284285","8,3666002653"
45,"6,8556546004","8,7177978871"
46,"6,0827625303","8,1240384046"
47,"6,9282032303","8,7749643874"
48,"8,8317608663","10,3923048454"
49,"7,874007874","10,246950766"
50,"6,9282032303","8,3666002653"
51,"7,5498344353","8,8317608663"
52,"6,6332495807","8,1240384046"
53,"7,0710678119","8,7177978871"
54,"7,0710678119","9,8488578018"
55,"6,9282032303","9,1651513899"
56,"5,9160797831",8
57,"6,3245553203","7,9372539332"
58,"5,8309518948","13,9642400438"
59,"6,5574385243","8,1240384046"
60,"7,5498344353","8,3666002653"
61,"7,8102496759","9,643650761"
62,"7,5498344353","9,5393920142"
63,"7,2801098893","9,7979589711"
64,"6,8556546004","7,9372539332"
65,"5,8309518948","9,1651513899"
66,"6,6332495807","8,1853527719"
67,"5,4772255751","8,1240384046"
68,"6,5574385243","8,2462112512"
69,"6,4031242374","12,3693168769"
70,"7,874007874","8,4852813742"
71,"5,4772255751","8,2462112512"
72,"6,8556546004","10,1488915651"
73,"6,2449979984","8,94427191"
74,6,"8,5440037453"
75,"5,5677643628","7,9372539332"
76,"5,0990195136","10,0498756211"
77,"6,6332495807","8,94427191"
78,"6,2449979984","15,7797338381"
79,"7,0710678119","8,4852813742"
80,"6,7823299831","8,3666002653"
81,"6,7082039325","7,874007874"
82,"7,0710678119","9,0553851381"
83,"5,2915026221","9,1104335791"
84,"5,4772255751","8,1240384046"
85,"5,2915026221","9,4339811321"
86,"5,2915026221","8,6602540378"
87,"6,0827625303","9,3273790531"
88,"6,4807406984","9,3273790531"
89,"5,3851648071","9,3808315196"
90,5,"8,3666002653"
91,"4,7958315233","8,2462112512"
92,"4,8989794856","8,7749643874"
93,"5,2915026221","8,8881944173"
94,"5,5677643628","7,9372539332"
95,"5,1961524227",9
96,"3,8729833462","7,9372539332"
97,"2,8284271247","8,0622577483"
98,"2,6457513111","8,3066238629"
99,"3,7416573868","8,6602540378"
100,"3,7416573868","7,6157731059"
101,4,"8,4852813742"
102,"4,6904157598","8,0622577483"
103,"3,7416573868","8,3066238629"
104,"3,7416573868","8,1240384046"
105,"5,3851648071","7,8102496759"
106,"5,1961524227","8,4261497732"
107,4,"7,9372539332"
108,"3,8729833462","8,5440037453"
109,"3,3166247904","8,6602540378"
110,"4,2426406871","8,2462112512"
111,"3,4641016151","8,4852813742"
112,"3,7416573868","8,8317608663"
113,"3,6055512755","9,5916630466"
114,"2,6457513111","8,4261497732"
115,"4,472135955","9,1104335791"
116,"3,8729833462","8,1853527719"
117,"3,3166247904","10,9544511501"
118,"5,6568542495","8,602325267"
119,"5,2915026221","9,2195444573"
120,"4,6904157598",8
121,5,"8,2462112512"
122,"4,8989794856","8,3666002653"
123,"3,6055512755",8
124,"4,1231056256","8,4261497732"
125,"2,4494897428","9,1651513899"
126,"2,8284271247","8,2462112512"
127,"3,7416573868","8,6602540378"
128,"4,472135955","10,6301458127"
129,"5,7445626465","7,874007874"
130,"4,472135955","8,2462112512"
131,"5,2915026221","9,7979589711"
132,"5,4772255751","7,7459666924"
133,"4,472135955","8,2462112512"
134,"5,8309518948",8
135,5,"8,2462112512"
136,"3,8729833462","8,2462112512"
137,3,8
138,"2,6457513111","7,874007874"
139,"3,6055512755","7,9372539332"
140,"1,7320508076","7,9372539332"
141,"3,7416573868","8,4852813742"
142,"4,2426406871","7,6811457479"
143,"5,7445626465","8,0622577483"
144,"4,472135955","8,2462112512"
145,"4,2426406871","8,4261497732"
146,4,"7,874007874"
147,"4,472135955","8,0622577483"
148,"4,472135955","7,9372539332"
149,"4,1231056256","7,9372539332"
150,"3,8729833462","8,2462112512"
151,"3,3166247904","8,2462112512"
152,"3,1622776602","7,9372539332"
153,"2,6457513111","7,8102496759"
154,"2,2360679775","8,1853527719"
155,"1,4142135624","8,3666002653"
156,0,"8,3666002653"
